Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01F10,Topiramate,-0.410472139,-0.503482212,0.093010073
SK01F11,Carmofur,-1.897839569,-2.082736886,0.184897317
SK01F12,Ispinesib (SB-715992),-0.787191556,-1.280024882,0.492833326
SK01F13,Ifosfamide,-0.433633669,-0.441045808,0.007412138
SK01F14,SP600125,0.030708441,-0.269740995,0.300449436
SK01F15,Edaravone,-0.469408134,-0.404832641,-0.064575493
SK01F16,GSK429286A,0.015801843,-0.67321129,0.689013133
SK01F17,Fluvoxamine maleate,-0.289541697,-0.599330415,0.309788719
SK01F18,HMN-214,-0.296893935,-0.572126542,0.275232607
SK01F19,Levetiracetam,-0.499957522,-0.360495195,-0.139462327
SK01F20,Betamethasone ,-0.382348601,-0.300083327,-0.082265274
SK01F21,BMS-707035,-0.325923619,-0.417279257,0.091355638
SK01F22,Pracinostat (SB939),-0.212335903,-0.144116712,-0.068219192
SK01F23,DMSO,0.062490692,0.14481438,-0.082323688
SK01F24,DMSO,0.415583054,0.641790634,-0.22620758
SK01G01,Veliparib (ABT-888),-0.334425818,-0.63329686,0.298871042
SK01G02,"Cabozantinib (XL184, BMS-907351)",-0.168155086,-0.270475644,0.102320557
SK01G03,Bortezomib (PS-341),-2.704146378,-2.194932605,-0.509213774
SK01G04,Alisertib (MLN8237),-0.608443431,-0.358341836,-0.250101595
SK01G05,Gefitinib (ZD1839),0.075353745,-0.230507969,0.305861714
SK01G06,AG-490 (Tyrphostin B42),-0.282754271,-0.384157645,0.101403373
SK01G07,Pazopanib HCl,-1.339025408,-0.818309464,-0.520715944
SK01G08,SNS-314 Mesylate,-1.135796711,-1.095805148,-0.039991563
SK01G09,Trichostatin A (TSA),-1.564629867,-1.408476431,-0.156153436
SK01G10,Lenvatinib (E7080),-0.720903425,-0.548443355,-0.172460071
SK01G11,AC480 (BMS-599626),-0.786855791,-0.487410603,-0.299445188
SK01G12,WZ4002,-0.853436959,-0.66583972,-0.187597239
SK01G13,Crizotinib (PF-02341066),-1.495340866,-1.419691848,-0.075649019
SK01G14,ENMD-2076,-0.257614915,-0.332787792,0.075172877
SK01G15,MK-2206 2HCl,-0.248189537,-0.360688652,0.112499116
SK01G16,Raltitrexed,-0.520423025,-0.722767967,0.202344941
SK01G17,OSI-906 (Linsitinib),-0.063823444,0.048271016,-0.11209446
SK01G18,Decitabine,-0.357493772,-0.244748447,-0.112745325
SK01G19,MLN8054,-0.487401011,-0.540778144,0.053377133
SK01G20,"Fluorouracil (5-Fluoracil, 5-FU)",-2.074838084,-1.844825943,-0.23001214
SK01G21,BI 2536,-0.746218384,-1.035755577,0.289537193
SK01G22,OSI-930,-1.204000322,-0.624035702,-0.579964619
SK01G23,DMSO,-0.102800107,0.169656609,-0.272456716
SK01G24,DMSO,0.484460605,0.639047038,-0.154586432
SK01H01,Fludarabine Phosphate,-1.675487779,-1.603691642,-0.071796137
SK01H02,Lopinavir,-0.264386804,-1.002710175,0.738323371
SK01H03,Agomelatine,-0.374249237,-0.322861934,-0.051387303
SK01H04,Oxcarbazepine,-0.422733625,-0.531602326,0.108868701
SK01H05,Rufinamide,-0.495726457,-0.347767993,-0.147958464
SK01H06,Tigecycline,-0.427830261,-0.613617452,0.185787191
SK01H07,PD173074,-1.8069142,-1.741408098,-0.065506103
SK01H08,Ranolazine 2HCl,-0.310069048,-0.431278414,0.121209365
SK01H09,Amisulpride,-0.33473194,-0.213693145,-0.121038796
SK01H10,Tranilast,-0.405156905,-0.522657994,0.117501089
SK01H11,Celastrol,-0.865066262,-0.017323927,-0.847742335
SK01H12,Tipifarnib ,-1.514842732,-1.475948553,-0.038894179
SK01H13,Megestrol Acetate,-0.610207605,-0.375663488,-0.234544117
SK01H14,AZD6482,-0.122092037,-0.108936783,-0.013155254
SK01H15,Etodolac ,-0.514766534,-0.465126865,-0.049639668
SK01H16,Pimasertib (AS-703026),-0.578885107,-0.944628073,0.365742966
SK01H17,Genistein,-0.632764819,-0.547634576,-0.085130242
SK01H18,AEE788 (NVP-AEE788),-1.348067807,-0.82063978,-0.527428027
SK01H19,Lidocaine,-0.386132248,-0.495608505,0.109476257
SK01H20,Mycophenolate Mofetil,0.693847262,0.961944327,-0.268097065
SK01H21,Amonafide,-0.302464007,-0.123977588,-0.178486419
SK01H22,Natamycin ,-0.478404772,0.111674916,-0.590079688
SK01H23,DMSO,-0.142159363,0.202666682,-0.344826046
SK01H24,DMSO,0.416460505,0.59603389,-0.179573385
SK01I01,Axitinib,-0.506606578,-0.880104679,0.373498101
SK01I02,Everolimus (RAD001),-0.125190633,0.011667138,-0.13685777
SK01I03,Bosutinib (SKI-606),-0.642065935,-1.091372047,0.449306112
SK01I04,AT9283,-0.705650278,-1.634686971,0.929036693
SK01I05,Imatinib Mesylate (STI571),-0.19765403,-0.134574591,-0.063079439
SK01I06,Ivacaftor (VX-770),-0.699455088,-0.896572129,0.197117042
SK01I07,PD0325901,-0.318414386,-1.103448505,0.785034119
SK01I08,S3I-201,-0.58588937,-0.459529472,-0.126359897
SK01I09,Vandetanib (ZD6474),-0.754514995,-0.967231386,0.212716392
SK01I10,ABT-751 (E7010),-0.454473952,-1.143106745,0.688632792
SK01I11,Obatoclax Mesylate (GX15-070),-1.264458953,-1.082693376,-0.181765577
SK01I12,MK-2866 (GTx-024),-0.198184462,-0.650562146,0.452377685
SK01I13,AUY922 (NVP-AUY922),-0.132462545,0.135962888,-0.268425434
SK01I14,Danoprevir (ITMN-191),0.074946937,-0.38793343,0.462880366
SK01I15,SU11274,-0.389306685,-1.079473318,0.690166632
SK01I16,Thalidomide,-0.273808687,-0.40092539,0.127116703
SK01I17,KU-55933 (ATM Kinase Inhibitor),-0.562655893,-0.489323873,-0.07333202
SK01I18,Dimesna,-0.280456139,-0.608361804,0.327905665
