Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01H19,Lidocaine,-0.260532303,-0.269189671,0.008657368
SK01H20,Mycophenolate Mofetil,-0.232808056,-0.042895058,-0.189912998
SK01H21,Amonafide,-0.107940758,-0.550368032,0.442427274
SK01H22,Natamycin ,-0.23079426,-0.448942567,0.218148308
SK01H23,DMSO,-0.140916487,-0.281201604,0.140285116
SK01H24,DMSO,0.708062003,0.482559257,0.225502747
SK01I01,Axitinib,-0.292777016,-0.331534657,0.03875764
SK01I02,Everolimus (RAD001),-0.076424906,-0.080197346,0.00377244
SK01I03,Bosutinib (SKI-606),-0.161860959,-0.24867556,0.0868146
SK01I04,AT9283,-0.54884705,-0.259499075,-0.289347975
SK01I05,Imatinib Mesylate (STI571),-0.236858273,-0.257955976,0.021097702
SK01I06,Ivacaftor (VX-770),-0.242884681,-0.3750262,0.132141519
SK01I07,PD0325901,-0.17825367,-0.162701744,-0.015551926
SK01I08,S3I-201,-0.432087735,-0.480487319,0.048399584
SK01I09,Vandetanib (ZD6474),-0.23468531,-0.436453572,0.201768262
SK01I10,ABT-751 (E7010),-1.599348667,-0.481667243,-1.117681424
SK01I11,Obatoclax Mesylate (GX15-070),-3.312341415,-2.23145874,-1.080882675
SK01I12,MK-2866 (GTx-024),-0.367204412,-0.459264733,0.092060321
SK01I13,AUY922 (NVP-AUY922),-1.87783391,-1.101469968,-0.776363941
SK01I14,Danoprevir (ITMN-191),-0.44815215,-0.455019121,0.00686697
SK01I15,SU11274,-0.160416471,-0.342313483,0.181897012
SK01I16,Thalidomide,-0.340228982,-0.415666179,0.075437196
SK01I17,KU-55933 (ATM Kinase Inhibitor),-0.2945285,-0.194909608,-0.099618892
SK01I18,Dimesna,-0.210498256,-0.246784497,0.036286241
SK01I19,Vatalanib (PTK787) 2HCl,-0.323600806,-0.369680616,0.046079811
SK01I20,Methotrexate,-2.857093391,-3.210503727,0.353410336
SK01I21,Varespladib (LY315920),-0.308601114,-0.353078072,0.044476958
SK01I22,Dacarbazine,-0.057593028,-0.156530799,0.098937771
SK01I23,DMSO,-0.092659854,-0.13681478,0.044154926
SK01I24,DMSO,0.769400026,0.626922403,0.142477623
SK01J01,Flavopiridol (Alvocidib),-3.475126845,-2.40732525,-1.067801594
SK01J02,Meropenem,-0.175202254,-0.159706736,-0.015495518
SK01J03,Amuvatinib (MP-470),-0.449514259,-0.938532063,0.489017804
SK01J04,Pelitinib (EKB-569),-0.091454929,-0.254097807,0.162642878
SK01J05,Posaconazole,-0.151522245,-0.323354854,0.171832609
SK01J06,Trilostane,-0.433227257,-0.514606896,0.08137964
SK01J07,WYE-354,-0.001303453,-0.04899814,0.047694687
SK01J08,Repaglinide,-0.414358113,-0.492914604,0.078556492
SK01J09,Aniracetam,-0.492963613,-0.534325256,0.041361644
SK01J10,Venlafaxine,-0.424628398,-0.4249663,0.000337902
SK01J11,Cetirizine DiHCl,-0.461952996,-0.429375544,-0.032577451
SK01J12,PHA-680632,-0.062409489,0.055576958,-0.117986448
SK01J13,Mercaptopurine (6-MP),-0.166805317,-0.108581848,-0.058223468
SK01J14,Moxifloxacin HCl,-0.338866025,-0.378165311,0.039299285
SK01J15,Etomidate,-0.217710443,-0.240293419,0.022582976
SK01J16,SB525334,-0.12769551,-0.242951323,0.115255813
SK01J17,Ginkgolide B,-0.110836006,-0.264895301,0.154059295
SK01J18,PHA-793887,0.184546429,0.304871747,-0.120325318
SK01J19,Loratadine,-0.173584283,-0.248687251,0.075102968
SK01J20,Dyphylline,-0.194290703,-0.227247497,0.032956794
SK01J21,Acitretin,-0.244367671,-0.284890594,0.040522923
SK01J22,SAR245409 (XL765),-0.121090139,-0.225965215,0.104875075
SK01J23,DMSO,0.127390783,0.004590225,0.122800559
SK01J24,DMSO,0.82875583,0.755209503,0.073546327
SK01K01,Saracatinib (AZD0530),-0.094362923,-0.035411762,-0.058951161
SK01K02,TW-37,-1.893806928,-0.829755585,-1.064051343
SK01K03,Cediranib (AZD2171),-0.073877093,-0.240092202,0.166215109
SK01K04,Malotilate,-0.219096815,-0.693445896,0.474349081
SK01K05,Lapatinib (GW-572016) Ditosylate,-0.22142047,-0.341079105,0.119658635
SK01K06,SNS-032 (BMS-387032),-3.43185708,-1.923403552,-1.508453528
SK01K07,PI-103,-0.530602768,-0.240268788,-0.29033398
SK01K08,Capecitabine ,-0.259539441,-0.43182067,0.172281229
SK01K09,"Vorinostat (SAHA, MK0683)",-0.676295355,-0.115144143,-0.561151211
SK01K10,CP-724714,-0.269010898,-0.353318414,0.084307516
SK01K11,"Olaparib (AZD2281, Ku-0059436)",-0.266439664,-0.410781257,0.144341593
SK01K12,BIIB021,-1.640580879,-0.896580089,-0.74400079
SK01K13,PHA-665752,-0.015684392,-0.238684987,0.223000596
SK01K14,Ritonavir,-0.230839513,-0.234722112,0.003882599
SK01K15,Vismodegib (GDC-0449),-0.202291082,-0.305388323,0.103097241
SK01K16,CUDC-101,-0.027933314,-0.021907787,-0.006025526
SK01K17,GSK1904529A,-0.069046706,-0.26294791,0.193901204
SK01K18,Dutasteride,-0.181596549,-0.284960744,0.103364195
SK01K19,U0126-EtOH,-0.305014598,-0.232003559,-0.073011039
SK01K20,Bendamustine HCl,-0.203814464,-0.406515789,0.202701326
SK01K21,Foretinib (GSK1363089),-0.246379449,-0.171107135,-0.075272314
SK01K22,"Dexrazoxane HCl (ICRF-187, ADR-529)",-0.051191052,-0.303668742,0.252477689
SK01K23,DMSO,0.108284549,-0.063359555,0.171644104
SK01K24,DMSO,0.880253926,0.722406526,0.157847401
SK01L01,Topotecan HCl,-2.784896039,-2.387520173,-0.397375866
SK01L02,Mianserin HCl,-0.093223723,-0.208009033,0.11478531
SK01L03,Leflunomide,-0.29437454,-0.276150656,-0.018223884
SK01L04,Pirarubicin,-2.879504579,-2.008922515,-0.870582063
SK01L05,Prasugrel,-0.23305439,-0.310916493,0.077862103
SK01L06,Vecuronium Bromide,-0.351898187,-0.391067373,0.039169186
SK01L07,"Vemurafenib (PLX4032, RG7204)",-0.26724899,-0.385841069,0.11859208
SK01L08,Rolipram,-0.336611802,-0.538797266,0.202185464
SK01L09,Artemisinin,-0.382705145,-0.444895391,0.062190247
SK01L10,Voriconazole,-0.309705822,-0.348619981,0.038914158
SK01L11,Cilnidipine,-0.201305414,-0.399764487,0.198459073
SK01L12,Cilomilast,-0.301783736,-0.233656766,-0.06812697
SK01L13,Streptozotocin (STZ),-0.102182884,-0.307087679,0.204904796
SK01L14,Doxercalciferol,-0.238338863,-0.096761385,-0.141577477
SK01L15,Felbamate,-0.108832866,-0.240295198,0.131462333
SK01L16,"VX-222 (VCH-222, Lomibuvir)",-0.31178362,-0.399217081,0.087433461
SK01L17,Glimepiride,-0.210486487,-0.231385566,0.02089908
SK01L18,Naratriptan ,-0.182743048,-0.317083886,0.134340838
SK01L19,Losartan Potassium (DuP 753),-0.229939393,-0.211094221,-0.018845172
SK01L20,Aztreonam,-0.217531734,-0.315628689,0.098096956
SK01L21,Bafetinib (INNO-406),-0.111105011,-0.184257246,0.073152235
SK01L22,AT7519,-3.605471391,-2.120076071,-1.48539532
SK01L23,DMSO,0.2208744,-0.029229694,0.250104094
SK01L24,DMSO,0.783866979,0.636033785,0.147833195
SK01M01,FG-4592,-0.204097464,-0.183402675,-0.020694789
SK01M02,Mocetinostat (MGCD0103),-2.412039763,-1.662691443,-0.74934832
SK01M03,"Dovitinib (TKI-258, CHIR-258)",-0.263248108,-0.132933059,-0.130315049
SK01M04,Brivanib Alaninate (BMS-582664),-0.231728765,-0.280828641,0.049099876
SK01M05,Lenalidomide (CC-5013),-0.271869944,-0.398391322,0.126521378
SK01M06,Barasertib (AZD1152-HQPA),-0.309564811,-0.215761227,-0.093803584
SK01M07,Rapamycin (Sirolimus),0.077301661,-0.001542129,0.07884379
SK01M08,CEP-18770 (Delanzomib),-0.21526324,-0.317894848,0.102631609
SK01M09,"VX-680 (Tozasertib, MK-0457)",-0.143865743,-0.293181364,0.149315621
SK01M10,Valproic acid sodium salt (Sodium valproate),-0.227190628,-0.219003692,-0.008186936
SK01M11,Nutlin-3,-0.249849785,-0.194065772,-0.055784013
SK01M12,Plinabulin (NPI-2358),-2.858994972,-1.691358394,-1.167636578
SK01M13,HA14-1,-0.379690869,-0.399627592,0.019936723
SK01M14,BIBR 1532,-0.229070907,-0.163356281,-0.065714627
SK01M15,Brivanib (BMS-540215),-0.043994629,-0.345823526,0.301828897
SK01M16,TAK-700 (Orteronel),-0.187349595,-0.270892424,0.08354283
SK01M17,PF-04217903,0.046974323,-0.173834301,0.220808624
SK01M18,Melatonin,0.020807733,-0.104139379,0.124947113
SK01M19,ZM 447439,0.009322832,-0.026253149,0.035575981
SK01M20,Nelarabine ,-0.139566777,-0.951900317,0.81233354
SK01M21,SGX-523,-0.024709401,-0.289882139,0.265172738
SK01M22,Epirubicin HCl,-5.663033412,-4.690866313,-0.972167099
SK01M23,DMSO,0.062208706,0.760952523,-0.698743817
SK01M24,DMSO,0.89737304,0.652910493,0.244462547
